,Review,UpVotes,Rating,Label,Length,Positive,Negative,Present,Past,Future,b,f,r,u
1,log previous account reinstall app wouldnt account error app study dont couldnt log account group class,2597.0,2.0,b,280,1,-2,1.0,0.0,0.0,1,0,0,0
3,shortly downloading latest update open class access class removed list reinstalling account doesnt log google cool,4267.0,1.0,b,225,3,-1,0.625,0.375,0.0,1,0,0,0
5,updated include confidential feature confidential feature sign anymore option downgrade google broke perfectly working app reason,2722.0,1.0,f,200,3,-2,0.6,0.4,0.0,0,1,0,0
7,ive classroom year issue good app recent update opening app unenrolled course im unable coursework hoping bug fixed,946.0,2.0,b,273,3,-2,0.5714285714285714,0.42857142857142855,0.0,1,0,0,0
9,im strange glitch tell confidential mode log class suddenly era classroom need code itbut already signed latest update,1427.0,1.0,b,244,1,-2,0.5,0.16666666666666666,0.3333333333333333,1,0,0,0
11,disappointed updated app removed class join app didnt kinda liked app update honestly couldnt mad fix,1755.0,1.0,b,228,3,-3,0.16666666666666666,0.6666666666666666,0.16666666666666666,1,0,0,0
13,due latest update enter app click class give error remove class appearing screen website class simply wont show app delete download app,200.0,4.0,b,296,1,-2,0.8,0.0,0.2,1,0,0,0
15,annoyed new update removed class lost information log email please fix,1260.0,1.0,b,142,3,-3,0.5,0.5,0.0,1,0,0,0
17,sometimes couldnt upload mp gdrive sometimes couldnt upload ppt upload multiple photo sometimes showing notification new assignment,665.0,1.0,r,169,1,-1,0.6666666666666666,0.3333333333333333,0.0,0,0,1,0
19,kicked newly added class couldnt work upgrade messed log great useless,1075.0,1.0,b,152,3,-3,0.0,0.8,0.2,1,0,0,0
21,update feb view class join class reinstalled letting add account exam tomorrow note shared classroom big google,1044.0,1.0,b,240,1,-1,0.5,0.5,0.0,1,0,0,0
23,class notification functioning turned notification class app turn turning class want notification nonstop,987.0,1.0,b,193,1,-1,0.7142857142857143,0.14285714285714285,0.14285714285714285,1,0,0,0
25,recent update broken annoying regularly contacted people removed class app broken please fix,845.0,1.0,b,193,3,-4,0.4,0.4,0.2,1,0,0,0
27,everytime click classroom kick deletes classroom thought uninstalling reinstalling work wont log please fix issue immediately,812.0,1.0,b,186,3,-2,0.42857142857142855,0.14285714285714285,0.42857142857142855,1,0,0,0
29,class anymore unenrolled sign back please fix appdisaster rely app work high school para educator need work information teacher post fix asap,792.0,1.0,b,240,3,-1,0.5,0.25,0.25,1,0,0,0
31,uninstalled reinstalled wont allow existing account past worked perfectly giving notification homework update stopped working,697.0,1.0,b,230,3,-1,0.5,0.5,0.0,1,0,0,0
33,app updated kicked class uninstalled reinstalled wont sign email bueno happening app access class computer yknow id like proper notification cl,694.0,1.0,b,292,2,-2,0.5714285714285714,0.2857142857142857,0.14285714285714285,1,0,0,0
35,bug latest version longer recognized teacher class class disappeared class list,1326.0,1.0,b,141,1,-2,0.3333333333333333,0.6666666666666666,0.0,1,0,0,0
37,newest update removed majority class view important assignment due please fix edit fish app disappeared app working fine app solid work refrain making whackjob change,93.0,4.0,b,294,3,-1,0.625,0.25,0.125,1,0,0,0
39,new updated im removed class im already part error occurred message back class disappears,609.0,1.0,b,176,1,-1,0.6,0.2,0.2,1,0,0,0
41,weird bug kicked class reinstalled log didnt allow log work fine phone google provide proper support fix mess youve created,418.0,2.0,b,233,3,-2,0.5,0.5,0.0,1,0,0,0
43,great app update unenrolled class everytime enter code wrong please whats,1248.0,1.0,b,169,3,-2,0.5,0.25,0.25,1,0,0,0
45,appearance fish icon apps working unenrolled class app reinstalled unable create account doesnt work horrendous blunder,576.0,1.0,b,215,1,-4,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
47,previous version goodbut latest update could class already joined switch account uninstalled app reinstalled enter app account,165.0,5.0,b,249,1,-1,0.0,0.6666666666666666,0.3333333333333333,1,0,0,0
49,log account phone ive reinstalling app waiting couple day restarting phone choose account,5239.0,1.0,b,172,1,-1,0.8,0.2,0.0,1,0,0,0
51,update removed classroom im im log happened open account please fix solve problem,1294.0,1.0,b,171,3,-2,0.5,0.5,0.0,1,0,0,0
53,usefull apps auto class code changeble class code difficult reminderand class attaractive content downloadable offline opnen content downloadable make contextcontent downloadable passwordclass code,173.0,3.0,f,295,2,-3,1.0,0.0,0.0,0,1,0,0
55,updating latest version classroom im unenrolled session fixed reinstalling multiple time,465.0,1.0,b,142,1,-1,0.75,0.25,0.0,1,0,0,0
57,seriously wrong classroom fish icon confused clicked class immediately unenrolled uninstalled redownloaded couldnt sign glitch need fixed order work,3214.0,1.0,b,264,1,-2,0.16666666666666666,0.8333333333333334,0.0,1,0,0,0
59,update force stop updated app working properly jenny peter class notification click class disappeared,60.0,3.0,b,234,1,-2,0.5714285714285714,0.42857142857142855,0.0,1,0,0,0
61,update enrolled class missing weird fish icon classroom icon asking add account uninstalled reinstalled proceeding please help classroom app needed urgent basis please resolve issu,1704.0,1.0,b,298,3,-2,0.25,0.5,0.25,1,0,0,0
63,update occured ive kicked enrolled class log gmail tell im gmail,426.0,1.0,b,162,1,-2,0.5,0.5,0.0,1,0,0,0
65,february update google classroom app phone completely broken open classroom delete immediately attempting uninstalled reinstalled wont sign,277.0,2.0,b,255,1,-4,0.16666666666666666,0.3333333333333333,0.5,1,0,0,0
67,update kicked class teach access work fine browser isnt account related issue,1962.0,1.0,b,142,3,-2,0.5,0.5,0.0,1,0,0,0
69,update work perfectly impossible login account im disappointed please fix update login gon na wait sometimes consider star rating,122.0,3.0,b,226,3,-3,0.5,0.25,0.25,1,0,0,0
71,created class week suddenly new update class sign google account,3191.0,1.0,b,154,1,-1,0.5,0.5,0.0,1,0,0,0
73,update app stopped working couldnt open class reinstalling app log account please fix,385.0,1.0,b,159,3,-1,0.6666666666666666,0.3333333333333333,0.0,1,0,0,0
75,update ace account uninstall classroom uninstallation appeared message join class already joined class fix ace account app,163.0,2.0,b,249,1,-1,0.5,0.5,0.0,1,0,0,0
77,update feb app usable class disappearing app viewed computer browser fish logo appeared indicating beta mode,358.0,1.0,b,180,1,-1,0.5,0.5,0.0,1,0,0,0
79,school ton class good app couple day ago app send picture finished homework kicked classroom checked class couldnt access addition,81.0,5.0,b,291,3,-2,0.3333333333333333,0.6666666666666666,0.0,1,0,0,0
81,love google classroom ive good work perfectly teacher day dayif dont google classroom need help work,227.0,5.0,r,223,3,-1,0.5,0.0,0.5,0,0,1,0
83,app longer working dogfood version developer test version incorrectly deployed public please fix asap,479.0,1.0,b,153,3,-1,0.75,0.25,0.0,1,0,0,0
85,class didnt reinstalling add school account anymore ive people talking need fixed asap,478.0,1.0,b,211,1,-1,0.5,0.375,0.125,1,0,0,0
87,fantastic app latest update ive unenrolled class reinstalling app sign app,292.0,1.0,b,149,3,-1,0.5,0.5,0.0,1,0,0,0
89,recent update kicked class unable rejoin uninstalling reinstalling app unable sign,284.0,1.0,b,174,1,-2,0.3333333333333333,0.6666666666666666,0.0,1,0,0,0
91,please fix problem update apps yesterday show remove class reintsall unable log classroom please fix,298.0,1.0,b,161,3,-2,0.2,0.0,0.8,1,0,0,0
93,good update removed class uninstalled app downloaded log,243.0,1.0,b,161,3,-1,0.25,0.75,0.0,1,0,0,0
95,update enter classroom kicked class meaning turn work weekend zero please fix issue quickly,253.0,1.0,b,208,3,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0,0
97,new update bug people mentioned new update betafish icon working please fix asap,311.0,1.0,b,128,3,-2,0.5,0.5,0.0,1,0,0,0
