Name,Review,UpVotes,Rating,Date
,,,,
Sharifah Serena,"Why I can't log in using my previous account? After I reinstall, this app wouldn't let me use my account and it says error. I often use this app for my studies but now I don't know how am I going to do if I couldn't log in using my account because all of my group classes are still there.",2597,Rated 3.8 stars out of five stars,23-Feb-20
,,,,
Jai Chapman,"Shortly after downloading the latest update, whenever I open up one of my classes it says I can't access it, then the class gets removed from my list. Tried reinstalling and now my account doesn't log in. Thank you Google very cool.",4267,Rated 2 stars out of five stars,23-Feb-20
,,,,
Charlie Phillips,"Was updated to include ""confidential features"" but it seems the only confidential feature is that I can't sign in anymore. No option to downgrade, so Google just broke a perfectly working app for no reason",2722,Rated 1 stars out of five stars,22-Feb-20
,,,,
Sparrows tale,"I've used classroom for years and have never had issues, was a good app until the most recent update. After opening the app now, however, it has unenrolled me from one of my courses (one that I should be still in). I'm now unable to get my coursework. Hoping this bug gets fixed soon!",946,Rated 1 stars out of five stars,25-Feb-20
,,,,
Irelyn De Jesus,"Im having this strange glitch lately, where it tells me its in confidential mode, I try to log in to my class and then it suddenly erases me out of the classroom, saying that I need a code for it--But I was already signed in! Was it the latest update?",1427,Rated 2 stars out of five stars,25-Feb-20
,,,,
Sofija Savić,"I am so disappointed. Since I updated the app, I got removed from all my classes and even though I tried to join again, the app didn't let me. Until now I kinda liked the app, but after the update I honestly couldn't be more mad. Fix it!",1755,Rated 1 stars out of five stars,24-Feb-20
,,,,
nighwingrox711,"Due to the latest update when you enter the app and click on the class it will give you an error and it will then remove the class from appearing on screen, if you use the website your still in the class, it simply won't show you through the app, if you delete and re download the app you will not be...
Full Review",200,Rated 1 stars out of five stars,25-Feb-20
,,,,
Candida Medina,"Annoyed. With the new update, I have been removed from all my classes. Lost all my information and cannot log in with any of my emails. Please fix!",1260,Rated 4 stars out of five stars,24-Feb-20
,,,,
IceBerg -大哥,"sometimes couldnt upload mp4, even from gdrive sometimes couldnt upload ppt cannot upload multiple photo at once sometimes not showing notification when got new assignmentmes",665,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Molly Brazell,"Got kicked out of newly added class and couldn't get anything to work. Upgrade messed everything up and now I can't log in at all. Was great, now its useless!",1075,Rated 1 stars out of five stars,24-Feb-20
,,,,
Shubham Shirpurkar,"Since the update on 22nd Feb, I cannot view my class, join my class and when I reinstalled it, now it is not letting me add my account. I have an exam tomorrow and all the notes were shared through the classroom. This is a big let down from Google.",1044,Rated 1 stars out of five stars,23-Feb-20
,,,,
Steve Ho,"Class notifications are not functioning: when you turned off notifications for some classes, the app turns them on again while turning off some classes that you want to have notifications non-stop.",987,Rated 1 stars out of five stars,05-Mar-20
,,,,
Burntfish,After recent update it has become broken. Very annoying as I use it very regularly and have contacted people about being removed from classes when it is the app that has become broken. Please fix,845,Rated 1 stars out of five stars,23-Feb-20
,,,,
Akatu Morishoo,"Everytime i click a classroom it kicks me out and deletes the classroom, i thought uninstalling and reinstalling would work but now it won't let me log in! Please fix this issue immediately..",812,Rated 1 stars out of five stars,24-Feb-20
,,,,
Jessica St.Gelais,I can't see my classes anymore I am unenrolled now and I can not sign back in!! Please fix this app/disaster I rely on this app as I work in a high school as a para educator and I need to see the work and information teachers post!! Fix this ASAP!,792,Rated 1 stars out of five stars,24-Feb-20
,,,,
Tin Of Beans,Uninstalled it and reinstalled it and it still won't allow me to use it on any of my existing accounts. In the past it has worked perfectly giving me notifications for homework but ever since the last update it's just stopped working,697,Rated 1 stars out of five stars,22-Feb-20
,,,,
Owl Post,"This app updated and then kicked me out of all my classes. I uninstalled it then reinstalled it and now it won't let me sign in to my email. This is no bueno. This is only happening in the app, i can access all my classes on my computer but y'know. I'd like to get proper notifications so i can do cl...
Full Review",694,Rated 1 stars out of five stars,24-Feb-20
,,,,
Dan Overlander,"Bug in the latest version : I was no longer recognized as a teacher in one of my classes, and the class disappeared from my class list, entirely.",1326,Rated 1 stars out of five stars,26-Feb-20
,,,,
SuitofSpades,"After this newest update I have been removed from majority of my classes, and cannot view important assignments that are due. Please fix this. Edit: The fish below the app has disappeared and now the app is working fine again. App is solid when it works, just refrain from making whackjob changes and...
Full Review",93,Rated 1 stars out of five stars,26-Feb-20
,,,,
Debashruto Bhattacharyya,"Ever since the new updated I'm getting removed from classes that I'm already part of. It gives my some 'error occurred' message and as soon as I go back, the class is just disappears.",609,Rated 4 stars out of five stars,24-Feb-20
,,,,
Sovas,"Weird bug has kicked me out of all of my classes, and when I reinstalled and tried to log in again it didn't allow me to log in. However, it works fine on my other phone. Google, either provide proper support or fix this mess you've created",418,Rated 1 stars out of five stars,24-Feb-20
,,,,
best boy Leon Kuwata,It was a great app until the update. It unenrolled me from all my classes and everytime I enter the code it says something went wrong please try again what's up with that ?,1248,Rated 2 stars out of five stars,25-Feb-20
,,,,
Raja Rani,"After the appearance of the fish icon , the app's not working and I got un-enrolled from classes on the app , when I reinstalled it , it says unable to create account and it doesn't work . Look into this horrendous blunder",576,Rated 1 stars out of five stars,25-Feb-20
,,,,
Rajtilak Pal,The previous version was very good...but after the latest update neither could I see my classes that I had already joined not can I switch between accounts. Then I uninstalled the app and reinstalled it. Now I cannot enter the app with any of my Accounts,165,Rated 1 stars out of five stars,26-Feb-20
,,,,
Adam Price,"Can't log in with any accounts on my phone. I've tried reinstalling the app, waiting a couple days and restarting my phone, it says try again later or choose a different account.",5239,Rated 5 stars out of five stars,25-Feb-20
,,,,
Muhammad Taufik,"After last update i am getting removed from all the classroom i'm in, i'm trying to re log in but nothing happened and i can't open my account, please fix it, solve that problem.",1294,Rated 1 stars out of five stars,23-Feb-20
,,,,
Mohammad Nehal,"This is usefull Apps but auto class code are not changeble so its class code are very difficult to reminder.and class Look are not attaractive and content are not downloadable and its not offline opnen. And content are no downloadable. So make context/content are downloadable and password/class code...
Full Review",173,Rated 1 stars out of five stars,17-Feb-20
,,,,
Roop Sannigrahi,"After updating to the latest version of classroom, im getting unenrolled from all the sessions, not fixed even after reinstalling multiple times.",465,Rated 3 stars out of five stars,24-Feb-20
,,,,
Ketsueki Shisha,"Something is seriously wrong with classroom. There's a fish icon and I was confused. I clicked on a class and it immediately unenrolled me, so I uninstalled it and redownloaded it and it said I couldn't sign in. If this is a glitch, I need it fixed in order to do my work.",3214,Rated 1 stars out of five stars,24-Feb-20
,,,,
Liz Cornett,2/26/20 UPDATE I did a force stop and then updated the app and it is working properly. 2/24/20 Same as Jenny Peters below!!! All of classes are gone! I keep getting notifications but whenever I click there's nothing there and all classes have disappeared!,60,Rated 1 stars out of five stars,26-Feb-20
,,,,
Shraddha Dwivedi,"Since the last update all my enrolled classes are missing there is just some weird fish icon on classroom icon and it is asking to add different account when uninstalled nd reinstalled after which is not. Proceeding further. Please help classroom app is needed on urgent basis please resolve the issu...
Full Review",1704,Rated 3 stars out of five stars,24-Feb-20
,,,,
Cello4ever,"Since the last update occured, ive been kicked out of all my enrolled classes, and when i try to log in with my Gmail, it tells me that im ""not able to use this Gmail.""",426,Rated 1 stars out of five stars,24-Feb-20
,,,,
Mat Marshall,"Ever since the February 20th 2020 update Google classroom the app on my phone is completely broken, would not let me open a classroom and then would delete it immediately after attempting to. So I uninstalled it and reinstalled it and won't even let me sign in now.",277,Rated 1 stars out of five stars,22-Feb-20
,,,,
Luigi Coradduzza,After the 22/2's update it kicked me out of the class I teach and can't access it again. It works fine on browser so it isn't an account related issue!,1962,Rated 2 stars out of five stars,22-Feb-20
,,,,
Nyoto Sulistiyo,"Before the update, it works perfectly But now, its impossible for me to login to my account I'm so disappointed by that. Please fix it UPDATE : It's possible for me to login right now. Gonna wait sometimes to consider for 5star rating",122,Rated 1 stars out of five stars,25-Feb-20
,,,,
MARCH_O MARCH_O,"I created a class and had been using it for two weeks when, suddenly, with the new update, the class is gone and now can't even sign up with my google account",3191,Rated 3 stars out of five stars,23-Feb-20
,,,,
Olga Yolgina,After the last update the app stopped working. I couldn't open any of my classes and after reinstalling the app it can't even log me into my account. Please fix it.,385,Rated 1 stars out of five stars,22-Feb-20
